"","zip","Case.Type","Case.Number","Status","Source","Incident.Date","Incident.Time","Incident.Location.Type","Incident.Location","Incident.City","Incident.State","Incident.County","Child.ID.1","Child.ID.2","Child.ID.3","Child.ID.4","Child.ID.5","Child.ID.6","Child.Race.1","Child.Race.2","Child.Race.3","Child.Race.4","Child.Race.5","Child.Race.6","Child.Gender.1","Child.Gender.2","Child.Gender.3","Child.Gender.4","Child.Gender.5","Child.Gender.6","Child.Perceived.Age.1","Child.Perceived.Age.2","Child.Perceived.Age.3","Child.Perceived.Age.4","Child.Perceived.Age.5","Child.Perceived.Age.6","Offender.Gender.1","Offender.Gender.2","Offender.Gender.3","Offender.Race.1","Offender.Race.2","Offender.Race.3","Offender.Age.1","Offender.Age.2","Offender.Age.3","Offender.Perceived.Age.1","Offender.Perceived.Age.2","Offender.Perceived.Age.3","Vehicle.Style.1","Vehicle.Style.2","Vehicle.Color.1","Vehicle.Color.2","How.Got.Away","How.Got.Away.Detail","Offender.Method.Animal","Offender.Method.Candy","Offender.Method.Money","Offender.Method.Ride","Offender.Method.Other","Offender.Method.Other.Detail","city","state","latitude","longitude"
"478",22207,"Attempted Abduction",1255386,"Closed","Internet",NA,"12:50 PM","School - Facility","5200 Yorktown Blvd","Arlington","VA","Arlington",544484,NA,NA,NA,NA,NA,"Unknown","","","","","","Female","","","","","","17","","","","","","Male","","","Unknown","","","22",NA,NA,"","","","","","","","Unknown","",0,0,0,0,1,"None","Arlington","VA",38.903697,-77.12749
"479",22207,"Attempted Abduction",1266807,"Closed","Internet",NA,"7:00 PM","Street","5200 30th St N","Arlington","VA","Arlington",560587,560591,560592,NA,NA,NA,"Unknown","Unknown","Unknown","","","","Unknown","Unknown","Unknown","","","","8","11","Unknown","","","","Male","","","Hispanic","","","",NA,NA,"40-50","","","Pickup Truck","","Blue","","Ran Away","",0,0,0,0,1,"Unknown","Arlington","VA",38.903697,-77.12749
"480",22301,"Attempted Abduction",1227135,"Closed","Internet",NA,"2:30 PM","Street","E Howell Ave & Commonwealth Ave","Alexandria","VA","Fairfax",501464,NA,NA,NA,NA,NA,"White","","","","","","Female","","","","","","16","","","","","","Male","","","Black","","","",NA,NA,"35-40","","","","","","","Fought/Broke Free","",0,0,0,0,1,"None","Alexandria","VA",38.819863,-77.05854
"481",22303,"Attempted Abduction",1272848,"Closed","Internet",2016-09-06,"7:20 AM","Street","2800 Fairhaven Ave","Alexandria","VA","Fairfax",569089,NA,NA,NA,NA,NA,"Unknown","","","","","","Female","","","","","","17","","","","","","Male","","","Hispanic","","","31",NA,NA,"","","","Sedan, 4 door","","Gray","","Other","The child walked away",0,0,0,0,1,"None","Alexandria","VA",38.792863,-77.07964
"482",22306,"Attempted Abduction",1272853,"Closed","Internet",NA,"8:24 PM","Retail - Food/Conv/Gas","3100 Lockheed Blvd","Alexandria","VA","Fairfax",569096,NA,NA,NA,NA,NA,"Unknown","","","","","","Female","","","","","","13","","","","","","Male","","","Hispanic","","","",NA,NA,"30-40","","","","","","","Other","The suspect left the area",0,0,0,0,1,"None","Alexandria","VA",38.757214,-77.08666
"483",22312,"Attempted Abduction",1272854,"Closed","Internet",NA,"4:45 AM","Street","6300 Little River Turnpike","Alexandria","VA","Fairfax",569097,569120,NA,NA,NA,NA,"Unknown","Unknown","","","","","Female","Female","","","","","13","14","","","","","Male","","","Black","","","42",NA,NA,"","","","","","","","Unknown","",0,0,0,0,1,"None","Alexandria","VA",38.817362,-77.1537
"484",22312,"Attempted Abduction",1201102,"Closed","Internet",NA,"7:00 PM","Playgrnd","Manitoba Dr &  Lachine Ln","Alexandria","VA","Fairfax",470419,NA,NA,NA,NA,NA,"Unknown","","","","","","Female","","","","","","5","","","","","","Male","","","Hispanic","","","",NA,NA,"Unknown","","","","","","","Released","",0,0,0,0,1,"Unknown","Alexandria","VA",38.817362,-77.1537
"485",22401,"Attempted Abduction",1229409,"Closed","Internet",2014-01-03,"1:40 PM","Unknown","1000 River Walk St","Fredericksburg","VA","Stafford",504833,504834,NA,NA,NA,NA,"Unknown","Unknown","","","","","Unknown","Unknown","","","","","Unknown","Unknown","","","","","Male","","","Unknown","","","69",NA,NA,"","","","","","","","None","",0,0,0,0,1,"None","Fredericksburg","VA",38.301829,-77.47077
"486",22401,"Attempted Abduction",1254654,"Closed","Internet",2015-11-09,"12:00 AM","School - Bus Stop","214 Kings Mill Ct","Fredericksburg","VA","Fredericksburg City",543457,NA,NA,NA,NA,NA,"Unknown","","","","","","Female","","","","","","Unknown","","","","","","Male","","","Black","","","28",NA,NA,"","","","","","","","Unknown","",0,0,0,0,1,"None","Fredericksburg","VA",38.301829,-77.47077
"487",22401,"Attempted Abduction",1254653,"Closed","Internet",2015-11-09,"12:00 AM","School - Bus Stop","214 Kings Mill Ct","Fredericksburg","VA","Fredericksburg City",543455,NA,NA,NA,NA,NA,"Unknown","","","","","","Female","","","","","","Unknown","","","","","","Male","","","Black","","","28",NA,NA,"","","","","","","","Unknown","",0,0,0,0,1,"Conversation","Fredericksburg","VA",38.301829,-77.47077
