"case_number","case_type","missing_date","age_missing","gender","race","missing_city","missing_state","missing_zip","vehicle_style","vehicle_color"
1123517,"Non Family Abduction","05/24/2009",0,"Female","Black","Raeford","NC","28376",NA,NA
1124500,"Non Family Abduction","06/06/2009",0,"Male","Black","Madison","IL","62060",NA,NA
1124733,"Non Family Abduction","06/10/2009",0,"Female","Black","Dallas","TX",NA,NA,NA
1132114,"Non Family Abduction","09/29/2009",0,"Male","Hispanic","Nashville","TN","37213","Sedan, 4 door","Green, Dark"
1136029,"Non Family Abduction","11/23/2009",0,"Male","Hispanic","Charleston","SC","29406","Sedan, 4 door","Gray"
1136029,"Non Family Abduction","11/23/2009",0,"Male","Hispanic","Charleston","SC","29406","Sedan, 4 door","Gray"
1139707,"Non Family Abduction","01/21/2010",0,"Female","Black","Sherwood","AR",NA,NA,NA
1140640,"Non Family Abduction","02/04/2010",0,"Male","Hispanic","Carthage","MO","64836",NA,NA
1142225,"Non Family Abduction","03/02/2010",0,"Male","Black","Jacksonville","FL","32244","Sedan, 4 door","Brown"
1146839,"Non Family Abduction","05/05/2010",0,"Female","White","Chicago","IL","60660","Truck","Blue"
1152856,"Non Family Abduction","07/27/2010",0,"Male","Black","Monroe","NC",NA,"Sedan, 4 door","Silver"
1152999,"Non Family Abduction","06/28/2010",0,"Male","Biracial","Anaheim","CA",NA,NA,NA
1156424,"Non Family Abduction","09/07/2010",0,"Female","Black","Memphis","TN","38128",NA,NA
1159986,"Non Family Abduction","11/10/2010",0,"Male","Black","Bandera","TX",NA,"Sedan, 4 door","Black"
1162219,"Non Family Abduction","12/10/2010",0,"Female","Black","Phoenix","AZ","93534",NA,NA
1173029,"Non Family Abduction","05/31/2011",0,"Female","Hispanic","Morgan Hill","CA","95037",NA,"White"
1173029,"Non Family Abduction","05/31/2011",0,"Female","Hispanic","Morgan Hill","CA","95037",NA,"White"
1173335,"Non Family Abduction","06/05/2011",0,"Male","White","Ariton","AL","36311","Sport Utility","Gray"
1173335,"Non Family Abduction","06/05/2011",0,"Male","White","Ariton","AL","36311",NA,"Maroon"
1176361,"Non Family Abduction","07/22/2011",0,"Male","Black","Baltimore","MD","21229",NA,NA
1177322,"Non Family Abduction","08/05/2011",0,"Male","White","Deridder","LA",NA,"Sedan, 4 door","White"
1179476,"Non Family Abduction","09/09/2011",0,"Female","Hispanic","Champaign","IL","61820",NA,"Blue"
1180259,"Non Family Abduction","09/22/2011",0,"Female","Black","Forest Hill","TX",NA,NA,NA
1183730,"Non Family Abduction","11/16/2011",0,"Female","Hispanic","Dallas","TX",NA,NA,NA
1187944,"Non Family Abduction","01/20/2012",0,"Male","Hispanic","Alpaugh","CA","93201","Sedan, 4 door","Tan"
1187944,"Non Family Abduction","01/20/2012",0,"Male","Hispanic","Alpaugh","CA","93201","Sedan, 4 door","Tan"
1188923,"Non Family Abduction","02/10/2012",0,"Male","Black","Berkeley","MO","63134","Sport Utility","Silver"
1192820,"Non Family Abduction","04/17/2012",0,"Male","White","Spring","TX","77380","Sedan, 4 door","Blue"
1210980,"Non Family Abduction","02/10/2013",0,"Female","Hispanic","Castroville","CA","95012","Van","Red"
