Case Type,Case Number,Status,Source,Incident Date,Incident Time,Incident Location Type,Incident Location,Incident City,Incident State,Incident Zip,Incident County,Child ID 1,Child ID 2,Child ID 3,Child ID 4,Child ID 5,Child ID 6,Child Race 1,Child Race 2,Child Race 3,Child Race 4,Child Race 5,Child Race 6,Child Gender 1,Child Gender 2,Child Gender 3,Child Gender 4,Child Gender 5,Child Gender 6,Child Perceived Age 1,Child Perceived Age 2,Child Perceived Age 3,Child Perceived Age 4,Child Perceived Age 5,Child Perceived Age 6,Offender Gender 1,Offender Gender 2,Offender Gender 3,Offender Race 1,Offender Race 2,Offender Race 3,Offender Age 1,Offender Age 2,Offender Age 3,Offender Perceived Age 1,Offender Perceived Age 2,Offender Perceived Age 3,Vehicle Style 1,Vehicle Style 2,Vehicle Color 1,Vehicle Color 2,How Got Away,How Got Away Detail,Offender Method Animal,Offender Method Candy,Offender Method Money,Offender Method Ride,Offender Method Other,Offender Method Other Detail
Attempted Abduction,1247112,Closed,Internet,4/14/2015,6:00 PM,School - Facility,900 S 6th St W,Missoula,MT,59801,Missoula,531202,,,,,,Unknown,,,,,,Male,,,,,,Unknown,,,,,,Male,,,Unknown,,,,,,Unknown,,,,,Red,,Ran Away,,0,0,0,-1,-1,Warmth
Attempted Abduction,1191871,Closed,Internet,3/21/2012,12:00 AM,Street,900 W State St,Salem,OH,44460,Columbiana,460335,,,,,,Unknown,,,,,,Male,,,,,,9,,,,,,Male,,,White,,,41,,,,,,,,,,Released,,0,0,0,-1,0,
Attempted Abduction,1269971,Closed,Internet,5/26/2016,7:42 PM,Street,900 Walnut St,Oolitic,IN,47451,Lawrence,565021,,,,,,Unknown,,,,,,Female,,,,,,1,,,,,,Male,,,White,,,33,,,,,,,,,,Adult/Child Intervened,,0,0,0,0,-1,Question
Attempted Abduction,1191808,Closed,Internet,3/27/2012,8:00 PM,Street,9000 N Country Homes Blvd,Spokane,WA,99218,Spokane,460267,,,,,,Unknown,,,,,,Female,,,,,,7,,,,,,Male,Female,,Unknown,Unknown,,,,,Unknown,Unknown,,,,,,Other,Screamed,-1,0,0,0,0,
Attempted Abduction,1271379,Closed,Internet,6/17/2016,7:45 AM,Street,9000 S Brandon Ave,Chicago,IL,60633,Cook,567039,,,,,,Unknown,,,,,,Female,,,,,,13,,,,,,Male,,,Black,,,,,,30-32,,,,,,,Fought/Broke Free,,0,0,0,0,-1,None
Attempted Abduction,1208739,Closed,Internet,11/19/2012,12:00 AM,Street,900E 133rd Pl,Chicago,IL,60827,Cook,478824,,,,,,Unknown,,,,,,Female,,,,,,16,,,,,,Male,,,Black,,,22,,,,,,,,,,Unknown,,0,0,0,0,-1,Unknown
Attempted Abduction,1278955,Closed,Internet,10/10/2016,12:00 PM,Playgrnd,901 Forest Rd,La Grange Park,IL,60526,Cook,577337,,,,,,Unknown,,,,,,Female,,,,,,10,,,,,,Male,,,White,,,,,,Unknown,,,Sport Utility,,Blue,,Ran Away,,0,0,0,-1,0,
Attempted Abduction,1254597,Closed,Internet,8/28/2015,3:15 PM,Street,905 Byram St,Reading,PA,19606,Berks,543379,,,,,,Unknown,,,,,,Female,,,,,,17,,,,,,Male,,,White,,,,,,55-60,,,"Sedan, 4 door",,Turquoise,,Ignored/Refused,Exposure,0,0,0,0,-1,None
Attempted Abduction,1254601,Closed,Internet,7/24/2015,5:00 PM,Street,905 Byram St,Reading,PA,19606,Berks,543383,,,,,,Unknown,,,,,,Female,,,,,,12,,,,,,Male,,,Unknown,,,,,,Unknown,,,Sport Utility,,Blue,,Ran Away,,0,0,0,0,-1,Question
Attempted Abduction,1293609,Closed,Internet,2/19/2016,12:00 AM,Retail - Mall/ Shop Ctr,911 Hwy 321 N,Lenoir City,TN,37771,Loudon,596569,,,,,,Unknown,,,,,,Female,,,,,,10,,,,,,Male,,,White,,,19,,,,,,,,,,Other,Walked away and reported the incident,0,0,0,0,-1,Employee
Attempted Abduction,1263479,Closed,Internet,2/24/2016,12:00 AM,Street,91-1119 Kamaaha Loop,Kapolei,HI,96707,Honolulu,555890,,,,,,Unknown,,,,,,Male,,,,,,Unknown,,,,,,Male,,,Unknown,,,,,,Unknown,,,,,,,Unknown,,0,0,0,0,-1,None
Attempted Abduction,1271913,Closed,Internet,7/3/2016,12:00 AM,Retail - Food/Conv/Gas,915 NW 45th St,Seattle,WA,98197,King,567730,,,,,,Unknown,,,,,,Female,,,,,,9,,,,,,Male,,,Unknown,,,,,,Unknown,,,,,,,Ignored/Refused,,0,0,0,0,-1,Beer; Questions
Attempted Abduction,1260634,Closed,Internet,1/7/2016,12:00 AM,Restaurant,918 N Main Ave,San Antonio,TX,78212,Bexar,551718,,,,,,Unknown,,,,,,Female,,,,,,7,,,,,,Male,,,Unknown,,,57,,,,,,,,Burgundy,,Released,,0,0,0,-1,0,
Attempted Abduction,1225195,Closed,Internet,10/31/2013,3:45 PM,Street,9200 Meandering Dr,North Richland Hills,TX,76182,Tarrant,498644,,,,,,Unknown,,,,,,Female,,,,,,8,,,,,,Male,,,White,,,,,,25-30,,,,,Black,,Ran Away,,0,0,0,0,-1,None
Attempted Abduction,1212637,Closed,Internet,3/10/2013,12:00 AM,Street,9200 Skokie Blvd,Skokie,IL,60077,Cook,483227,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,White,,,,,,45-50,,,,,,,Ran Away,,0,0,0,0,-1,None
